37	14	5
39	14	5
45	15	5
63	15	5
70	24	6
71	24	6
73	38	6
66	46	7
80	48	9
80	48	9
89	48	12
108	70	15
118	70	15
121	85	16
138	91	16
144	98	18
172	104	21
209	120	23
232	154	24
279	154	24
320	160	26
320	199	26
308	234	29
325	237	34
334	268	41
377	294	41
393	322	43
400	363	46
464	399	51
481	458	56
480	496	61
480	544	63
574	602	65
613	653	69
655	688	82
704	702	88
705	728	90
702	748	94
722	809	100
779	844	109
1029	852	116
1110	880	124
1270	923	131
1266	973	139
1288	1015	144
1347	1042	152
1412	1093	167
1472	1148	171
1642	1201	180
1719	1267	192
1771	1325	199
1833	1338	212
1917	1439	225
2050	1523	243
